Alt_names,Application_Notes,Clonality,Description,Dilutions,Host,Immunogen,Item_no,Name,Papers,Quantity,Source,Specificity,Url
"CEDLAP,DPD1,latency-associated peptide,TGFB,TGFB1,TGF-beta 1 protein,TGFbeta 1,TGF-beta 1,TGFbeta,TGF-beta-1,transforming growth factor beta-1,transforming growth factor, beta 1",,,,,,,7754-BH-005,Recombinant Human TGF-beta 1 (Human Cell-expressed) Protein,"Derynck, R. and K. Miyazono (2008) Cold Spring Harbor Laboratory Press p. 29. ,Dunker, N. and K. Krieglstein (2000) Eur. J. Biochem. ,:6982.,Wahl, S.M. (2006) Immunol. Rev. ,:213. ,Chang, H. , (2002) Endocr. Rev. ,:787. ,Lin, J.S. , (2006) Reproduction ,:179. ,Hinck, A.P. , (1996) Biochemistry ,:8517. ,Mittl, P.R.E. , (1996) Protein Sci. ,:1261. ,Derynck, R. ,. (1985) Nature ,:701. ,Miyazono, K. , (1988) J. Biol. Chem. ,:6407. ,Oklu, R. and R. Hesketh (2000) Biochem. J. ,:601. ,de Caestecker, M. , (2004) Cytokine Growth Factor Rev. ,:1. ,Zuniga, J.E. , (2005) J. Mol. Biol. ,:1052.",,<0.01 EU per 1 μg of the protein by the LAL method.,,https://www.novusbio.com/products/recombinant-human-tgf-beta-1-human-cell-expressed-protein_7754-bh
"CEDLAP,DPD1,latency-associated peptide,TGFB,TGFB1,TGF-beta 1 protein,TGFbeta 1,TGF-beta 1,TGFbeta,TGF-beta-1,transforming growth factor beta-1,transforming growth factor, beta 1",,,,,,,240-B-002,Recombinant Human TGF-beta 1 Protein,"Derynck, R. and K. Miyazono (2008) Cold Spring Harbor Laboratory Press, 29. ,Dunker, N. and K. Krieglstein (2000) Eur. J. Biochem. ,:6982. ,Wahl, S.M. (2006) Immunol. Rev. ,:213. ,Chang, H. , (2002) Endocr. Rev. ,:787. ,Lin, J.S. , (2006) Reproduction ,:179. ,Hinck, A.P. , (1996) Biochemistry ,:8517. ,Mittl, P.R.E. , (1996) Protein Sci. ,:1261. ,Derynck, R. ,. (1985) Nature ,:701. ,Miyazono, K. , (1988) J. Biol. Chem. ,:6407. ,Oklu, R. and R. Hesketh (2000) Biochem. J. ,:601. ,de Caestecker, M. , (2004) Cytokine Growth Factor Rev. ,:1. ,Zuniga, J.E. , (2005) J. Mol. Biol. ,:1052.",,TGFB1,,https://www.novusbio.com/products/recombinant-human-tgf-beta-1-protein_240-b
"B cell stimulatory factor-2,B-cell differentiation factor,BSF-2,BSF2CTL differentiation factor,CDF,HGFHSFIFNB2Hybridoma growth factor,IFN-beta-2,IL6,IL-6,IL-6B-cell stimulatory factor 2,Interferon beta-2,interleukin 6 (interferon, beta 2),interleukin BSF-2,interleukin-6,MGI-2A",,,,,,,7270-IL-025,Recombinant Human IL-6 (HEK293-expressed) Protein,"Mansell, A. and B.J. Jenkins (2013) Cytokine Growth Factor Rev. ,:249.,Schuett, H. , (2009) Thromb. Haemost. ,:215.,Erta, M. ,. (2012) Int. J. Biol. Sci. ,:1254.,Garbers, C. ,. (2012) Cytokine Growth Factor Rev. ,:85.,Mihara, M. ,. (2012) Clin. Sci. (Lond.) ,:143.,Hirano, T. ,. (1986) Nature ,:73.,Kestler, D.P. ,. (1995) Blood ,:4559.,Kestler, D.P. ,. (1999) Am. J. Hematol. ,:169.,Bihl, M.P. ,. (2002) Am. J. Respir. Cell Mol. Biol. ,:48.,Alberti, L. ,. (2005) Cancer Res. ,:2.,Murakami, M. ,. (1993) Science ,:1808.,Muller-Newen, G. (2003) Sci. STKE ,:PE40.,Mitsuyama, K. ,. (2006) Clin. Exp. Immunol. ,:125.,Cerutti, A. ,. (1998) J. Immunol. ,:2145.",,">95%, by SDS-PAGE visualized with Silver Staining and quantitative densitometry by Coomassie® Blue Staining.",,https://www.novusbio.com/products/recombinant-human-il-6-hek293-expressed-protein_7270-il
"B cell growth factor 1,BCDF,B-cell stimulatory factor 1,BCGF1,BCGF-1,binetrakin,BSF1,BSF-1,IL4,IL-4,IL-4B_cell stimulatory factor 1,interleukin 4,interleukin-4,Lymphocyte stimulatory factor 1,MGC79402,pitrakinra",,,"Interleukin-4 (IL-4), also known as B cell-stimulatory factor-1, is a monomeric, approximately 13 kDa ‑ 18 kDa Th2 cytokine that shows pleiotropic effects during immune responses (1 ‑ 3). It is a glycosylated polypeptide that contains three intrachain disulfide bridges and adopts a bundled four  alpha -helix structure (4). Human IL-4 is synthesized with a 24 aa signal sequence. Alternate splicing generates an isoform with a 16 aa internal deletion. Mature human IL-4 shares 55%, 39% and 43% aa sequence identity with bovine, mouse, and rat IL-4, respectively. Human, mouse, and rat IL-4 are species-specific in their activities (5 - 7). IL-4 exerts its effects through two receptor complexes (8, 9). The type I receptor, which is expressed on hematopoietic cells, is a heterodimer of the ligand binding IL-4 R alpha  and the common  gamma  chain (a shared subunit of the receptors for IL-2, -7, -9, -15, and ‑21). The type II receptor on nonhematopoietic cells consists of IL-4 R alpha  and IL-13 R alpha 1. The type II receptor also transduces IL-13 mediated signals. IL-4 is primarily expressed by Th2-biased CD4+ T cells, mast cells, basophils, and eosinophils (1, 2). It promotes cell proliferation, survival, and immunoglobulin class switch to IgG4 and IgE in human B cells, acquisition of the Th2 phenotype by naïve CD4+ T cells, priming and chemotaxis of mast cells, eosinophils, and basophils, and the proliferation and activation of epithelial cells (10 ‑ 13). IL-4 plays a dominant role in the development of allergic inflammation and asthma (12, 14).",,,,6507-IL-010,Recombinant Human IL-4 (CHO-expressed) Protein,"Benczik, M. and S.L. Gaffen (2004) Immunol. Invest. ,:109.,Chomarat, P. and J. Banchereau (1998) Int. Rev. Immunol. ,:1.,Yokota, T. , (1986) Proc. Natl. Acad. Sci. ,:5894.,Redfield, C. , (1991) Biochemistry ,:11029.,Ramirez, F. , (1988) J. Immunol. Meth. ,:141.,Leitenberg, D. and T.L. Feldbush (1988) Cell. Immunol. ,:451.,Mosman, T.R. , (1987) J. Immunol. ,:1813.,Mueller, T.D. , (2002) Biochim. Biophys. Acta ,:237.,Nelms, K. , (1999) Annu. Rev. Immunol. ,:701.,Paludan, S.R. (1998) Scand. J. Immunol. ,:459.,Corthay, A. (2006) Scand. J. Immunol. ,:93.,Ryan, J.J. , (2007) Crit. Rev. Immunol. ,:15.,Grone, A. (2002) Vet. Immunol. Immunopathol. ,:1.,Rosenberg, H.F. , (2007) J. Allergy Clin. Immunol. ,:1303.",,<0.01 EU per 1 μg of the protein by the LAL method.,,https://www.novusbio.com/products/recombinant-human-il-4-cho-expressed-protein_6507-il
"colony stimulating factor 2 (granulocyte-macrophage),Colony-stimulating factor,CSF,CSF2,GMCSF,GM-CSF,GMCSFgranulocyte-macrophage colony-stimulating factor,granulocyte-macrophage colony stimulating factor,MGC131935,MGC138897,molgramostin,sargramostim",,,,,,,7954-GM-010,Recombinant Human GM-CSF (CHO-expressed) Protein,"Martinez-Moczygemba, M. and D.P. Huston (2003) J. Allergy Clin. Immunol. ,:653. ,Barreda, D.R. ,. (2004) Dev. Comp. Immunol. ,:509. ,Eksioglu, E.A. ,. (2007) Exp. Hematol. ,:1163. ,Cao, Y. (2007) J. Clin. Invest. ,:2362. ,Fleetwood, A.J. ,. (2005) Crit. Rev. Immunol. ,:405.,Heuser, M. ,. (2007) Semin. Hematol. ,:148. ,Hege, K.M. ,. (2006) Int. Rev. Immunol. ,:321. ,Kaushansky, K. ,. (1992) Biochemistry ,:1881. ,Diederichs, K. ,. (1991) Science ,:1779.  
,Cantrell, M.A. ,. (1985) Proc. Natl. Acad. Sci. ,:6250. 
,Lee, F. ,. (1985) Proc. Natl. Acad. Sci. ,:4360. 
,Wong, G.G. ,. (1985) Science ,:810. 
,Onetto-Pothier, N. ,. (1990) Blood ,:59. 
,Hayashida, K. ,. (1990) Proc. Natl. Acad. Sci. ,:9655. 
,Pelley, J.L. ,. (2007) Exp. Hematol. ,:1483. 
,Hogge, G.S. ,. (1990) Cancer Gene Ther. ,:26. 
,Sprague, W.S. ,. (2005) J. Comp. Pathol. ,:136. 
,Shanafelt, A.B. ,. (1991) J. Biol. Chem. ,:13804.",,<0.01 EU per 1 μg of the protein by the LAL method.,,https://www.novusbio.com/products/recombinant-human-gm-csf-cho-expressed-protein_7954-gm
"catabolin,IL1 beta,IL-1 beta,IL-1,IL1B,IL-1b,IL1-BETA,IL-1F2,IL1F2IL-1 beta,interleukin 1, beta,interleukin-1 beta,preinterleukin 1 beta,pro-interleukin-1-beta",,,"IL-1 is a name that designates two pleiotropic cytokines, IL-1 alpha  (IL-1F1) and IL-1 beta  (IL-1F2), which are the products of distinct genes. IL-1 alpha  and IL-1 beta  are structurally related polypeptides that share approximately 21% amino acid (aa) identity in human. Both proteins are produced by a wide variety of cells in response to inflammatory agents, infections, or microbial endotoxins. While IL-1 alpha  and IL-1 beta  are regulated independently, they bind to the same receptor and exert identical biological effects. IL-1 RI binds directly to IL-1 alpha  or IL-1 beta  and then associates with IL-1 R accessory protein (IL-1 R3/IL-1 R AcP) to form a high-affinity receptor complex that is competent for signal transduction. IL-1 RII has high affinity for IL-1 beta  but functions as a decoy receptor and negative regulator of IL-1 beta  activity. IL-1ra functions as a competitive antagonist by preventing IL-1 alpha  and IL-1 beta  from interacting with IL-1 RI (1-4). The human IL-1 beta  cDNA encodes a 269 aa precursor. A 116 aa propeptide is cleaved intracellularly by the cysteine protease IL-1 beta -converting enzyme (Caspase-1/ICE) to generate the active cytokine (5-7). The 17 kDa mature human IL-1 beta  shares 96% aa sequence identity with rhesus and 67%-78% with canine, cotton rat, equine, feline, mouse, porcine, and rat IL-1 beta.",,,,201-LB-005,Recombinant Human IL-1 beta/IL-1F2 Protein,"Allan, S.M. ,. (2005) Nat. Rev. Immunol. ,:629.,Boraschi, D. and A. Tagliabue (2006) Vitam. Horm. ,:229.,Kornman, K.S. (2006) Am. J. Clin. Nutr. ,:475S.,Isoda, K. and F. Ohsuzu (2006) J. Atheroscler. Thromb. ,:21.,March, C.J. ,. (1985) Nature ,:641.,Auron, P.E. ,. (1984) Proc. Natl. Acad. Sci. ,:7907.,Martinon, F. and J. Tschopp (2007) Cell Death Differ. ,:10. ",,IL1B,,https://www.novusbio.com/products/recombinant-human-il-1-beta-il-1f2-protein_201-lb
"APC1 protein,Cachectin,Cachetin,DIF,TNF,TNF, monocyte-derived,tnfa,tnf-a,TNFalpha,TNF-alpha,TNF-alphacachectin,TNFATNF, macrophage-derived,TNFSF1A,TNFSF2,TNFSF2TNF superfamily, member 2,tumor necrosis factor (TNF superfamily, member 2),tumor necrosis factor alpha,Tumor necrosis factor ligand superfamily member 2,tumor necrosis factor,tumor necrosis factor-alpha",,,,,,,210-TA-005,Recombinant Human TNF-alpha Protein,"Zelova, H. and J. Hosek (2013) Inflamm. Res. ,:641.,Juhasz, K. ,. (2013) Expert Rev. Clin. Immunol. ,:335.,Pennica, D. ,. (1984) Nature ,:724.,Tang, P. ,. (1996) Biochemistry ,:8216.,Perez, C. ,. (1990) Cell ,:251.,Black, R.A. ,. (1997) Nature ,:729.,Moss, M.L. ,. (1997) Nature ,:733.,Gearing, A.J.H. ,. (1994) Nature ,:555.,Schall, T.J. ,. (1990) Cell ,:361.,Loetscher, H. ,. (1990) Cell ,:351.,Dembic, Z. ,. (1990) Cytokine ,:231.,Smith, C.A. ,. (1990) Science ,:1019.,Loetscher, H. ,. (1991) J. Biol. Chem. ,:18324.,Pinckard, J.K. ,. (1997) J. Biol. Chem. ,:10784.,Engelmann, H. ,. (1990) J. Biol. Chem. ,:1531.",,<0.10 EU per 1 μg of the protein by the LAL method.,,https://www.novusbio.com/products/recombinant-human-tnf-alpha-protein_210-ta
"beta-urogastrone,EGF,epidermal growth factor (beta-urogastrone),epidermal growth factor,HOMG4,pro-epidermal growth factor,URG,Urogastrone",,,,,,,236-EG-200,"Recombinant Human EGF Protein, CF","Harris, R.C. ,. (2003) Exp. Cell Res. ,:2.,Carpenter, G. and Cohen, S. (1990) J. Biol. Chem. ,:7709.,Bell, G.I. ,. (1986) Nucl. Acids Res. ,:8427.,Carpenter, G. and Zendegui, J.G. (1986) Exp. Cell Res. ,:1.,Jorissen, R.N. ,. (2003) Exp. Cell Res. ,:31.,Gamett, D.C. ,. (1997) J. Biol. Chem. ,:12052.,Qian, X. ,. (1994) Proc. Natl. Acad. Sci. ,:1500.,Qian, X. ,. (1999) J. Biol. Chem. ,:574.",,EGF,,https://www.novusbio.com/products/recombinant-human-egf-protein-cf_236-eg
"IFG,IFI,IFNG,IFNgamma,IFN-gamma,Immune interferon,interferon gamma,interferon, gamma",,,,,,,285-IF-100,Recombinant Human IFN-gamma Protein,"Billiau, A. and P. Matthys (2009) Cytokine Growth Factor Rev. ,:97.,Pestka, S. ,. (2004) Immunol. Rev. ,:8.,Gray, P.W. and D.V. Goeddel (1982) Nature ,:859.,Marsters, S.A. ,. (1995) Proc. Natl. Acad. Sci. ,:5401.,Krause, C.D. ,. (2000) J. Biol. Chem. ,:22995.,Schroder, K. ,. (2004) J. Leukoc. Biol. ,:163.,McLaren, J.E. and D.P. Ramji (2009) Cytokine Growth Factor Rev. ,:125.,Muhl, H. and J. Pfeilschifter (2003) Int. Immunopharmacol. ,:1247.,Kelchtermans, H. ,. (2008) Trends Immunol. ,:479.",,<0.01 EU per 1 μg of the protein by the LAL method.,,https://www.novusbio.com/products/recombinant-human-ifn-gamma-protein_285-if
"BMP-2B,BMP2B1,BMP2BMCOPS6,BMP4,BMP-4,Bone morphogenetic protein 2B,bone morphogenetic protein 4,DVR4,OFC11,ZYME",,,"BMP-4 is a TGF-beta  superfamily ligand that is widely expressed from early embryogenesis through adulthood. It plays an important role in mesenchyme formation, epidermal determination, suppression of neural induction, the development of multiple organs, and tissue repair (1-5). The human BMP-4 precursor contains a 273 amino acid (aa) propeptide and a 116 aa mature protein (6). Processing of the propeptide by furin or proprotein convertase 6 enables the formation of the mature disulfide-linked homodimeric BMP-4 and facilitates its secretion. Similar intracellular processes may lead to the formation and recreation of BMP4/BMP7,disulfide-linked heterodimer (7-9). Mature human and mouse BMP-4 share 98% aa sequence identity. Human BMP-4 shares 85% aa sequence identity with human BMP-2 and less than 50% with other human BMPs. Compared to BMP-4 homodimers, BMP-4/BMP-7 heterodimers exhibit a greater potency in inducing osteogenic differentiation (9). In Xenopus, the heterodimers can also induce the formation of mesoderm, whereas BMP-4 homodimers only provide ventralizing signals for existing mesoderm (10). BMP-4 signals through tetrameric complexes composed of type I (primarily Activin RIA or BMPR-IA) and type II (primarily Activin RIIA or BMPR-II) receptors (11, 12). The bioavailability of BMP-4 is regulated by its interaction with multiple proteins and glycosaminoglycans (13-15)., ",,,,314-BP-010,Recombinant Human BMP-4 Protein,"Zhang, P. ,. (2008) Blood ,:1933. ,Gambaro, K. ,. (2006) Cell Death Differ. ,:1075. ,Simic, P. and S. Vukicevic (2005) Cytokine Growth Factor Rev. ,:299. ,Sadlon, T.J. ,. (2004) Stem Cells ,:457. ,Frank, D.B. ,. (2005) Circ. Res. ,:496. ,Wozney, J. ,. (1988) Science ,:1528. ,Cui, Y. ,. (1998) EMBO J. ,:4735. ,Cui, Y. ,. (2001) Genes Dev. ,:2797. 
,Aono, A. ,. (1995) Biochem. Biophys. Res. Commun. ,:670. 
,Nishimatsu, S. and G.H. Thomsen (1998) Mech. Dev. ,:75. 
,Chen, D. ,. (2004) Growth Factors ,:233. 
,Lavery, K. ,. (2008) J. Biol. Chem. April 24 epub. 
,Rosen, V. (2006) Ann. N.Y. Acad. Sci. ,:19. 
,Jones, C.M. and J.C. Smith (1998) Dev. Biol. ,:12. 
,Takada, T. ,. (2003) J. Biol. Chem. ,:43229.",,<0.01 EU per 1 μg of the protein by the LAL method.,,https://www.novusbio.com/products/recombinant-human-bmp-4-protein_314-bp
"basic fibroblast growth factor bFGF,Basic fibroblast growth factor,bFGF,FGF basic,FGF2,FGF-2,FGF2AS,FGFBprostatropin,fibroblast growth factor 2 (basic),GFG1,HBGF-2,HBGH-2,heparin-binding growth factor 2,NUDT6,Prostatropin",,,"FGF basic is a member of the FGF family of at least 23 related mitogenic proteins which show 35-60% amino acid conservation. FGF acidic and basic, unlike the other members of the family, lack signal peptides and are apparently secreted by mechanisms other than the classical protein secretion pathway. FGF basic has been isolated from a number of sources, including neural tissue, pituitary, adrenal cortex, corpus luteum, and placenta. This factor contains four cysteine residues, but reduced FGF basic retains full biological activity, indicating that disulfide bonds are not required for this activity. A variety of forms of FGF basic are produced as a result of N-terminal extensions. These extensions affect localization of FGF basic in cellular compartments but do not affect biological activity. Binding of FGF to heparin or cell surface heparan sulfate proteoglycans is necessary for binding of FGF to high affinity FGF receptors. FGF acidic and basic appear to bind to the same high affinity receptors and show a similar range of biological activities. FGF basic stimulates the proliferation of all cells of mesodermal origin and many cells of neuroectodermal, ectodermal, and endodermal origin. FGF basic induces neuron differentiation, survival, and regeneration. FGF basic also modulates embryonic development and differentiation. These observed ,functions of FGF basic suggest FGF basic may play a role ,in the modulation of such normal processes as angiogenesis, wound healing and tissue repair, embryonic development and differentiation, and neuronal function and neural degeneration. Additionally, FGF basic may participate in the production of a variety of pathological conditions resulting from excessive cell proliferation and excessive angiogenesis.",,,,233-FB-010,Recombinant Human FGF basic/FGF2 (146 aa) Protein,"Coulier, F. ,. (1997) J. Mol. Evol. ,:43.,Chen, C.H. ,. (2004) Curr. Vasc. Pharmacol. ,:33.,Mohammadi, M. ,. (2005) Curr. Opin. Struct. Biol. ,:506.,Fernig, D. ,. (1994) Prog. Growth Factor Res. ,:353.",,">97%, by SDS-PAGE visualized with Silver Staining and quantitative densitometry by Coomassie® Blue Staining.",,https://www.novusbio.com/products/recombinant-human-fgf-basic-fgf2-146-aa-protein_233-fb
"Activin A,activin AB alpha polypeptide,Activin beta-A chain,erythroid differentiation factor,Erythroid differentiation protein,follicle-stimulating hormone-releasing protein,FSH-releasing protein,inhibin beta A chain,inhibin beta A subunit,Inhibin, beta-1",,,,,,,338-AC-010,Recombinant Human/Mouse/Rat Activin A Protein,"Kumanov, P. ,. (2005) Reprod. Biomed. Online ,:786.,Maeshima, A. ,. (2008) Endocr. J. ,:1.,Rodgarkia-Dara, C. ,. (2006) Mutat. Res. ,:123.,Werner, S. and C. Alzheimer (2006) Cytokine Growth Factor Rev. ,:157.,Xu, P. and A.K. Hall (2006) Dev. Biol. ,:303.,Shav-Tal, Y. and D. Zipori (2002) Stem Cells ,:493.,Chen, Y.G. ,. (2006) Exp. Biol. Med. ,:534.,Gray, A.M. and A.J. Mason (1990) Science ,:1328.,Mason, A.J. ,. (1996) Mol. Endocrinol. ,:1055.,Thompson, T.B. ,. (2004) Mol. Cell. Endocrinol. ,:9.,Harrison, C.A. ,. (2005) Trends Endocrinol. Metab. ,:73.,Onichtchouk, D. ,. (1999) Nature ,:480.,Gray, P.C. ,. (2002) Mol. Cell. Endocrinol. ,:254.,Kelber, J.A. ,. (2008) J. Biol. Chem. ,:4490.,Phillips, D.J. ,. (1997) J. Endocrinol. ,:65.,Schneyer, A. ,. (2003) Endocrinology ,:1671.",,">95%, by SDS-PAGE with silver staining.",,https://www.novusbio.com/products/recombinant-human-mouse-rat-activin-a-protein_338-ac
