Alt_names,Application_Notes,Clonality,Description,Dilutions,Host,Immunogen,Item_no,Name,Papers,Quantity,Source,Specificity,Url
"c-kit Ligand,DKFZp686F2250,familial progressive hyperpigmentation 2,FPH2,KIT ligand,Kitl,KITLG,KL-1,Mast cell growth factor,MGF,MGFSHEP7,SCF,SCFStem cell factor,SFc-Kit ligand,SLF,steel factor",,,,,,,7466-SC-010,Recombinant Human SCF (Mammalian-expressed) Protein,"Ashman, L.K., 1999, Int. J. Biochem. Cell Biol. ,:1037.,Sette, C. ,., 2000, Int. J. Dev. Biol. ,:599.,Yoshida, H. ,., 2001, J. Invest. Dermatol. Symp. Proc. ,:1.,Erlandsson, A. ,., 2004, Exp. Cell Res. ,:201.,Kapur, R. ,., 2002, Blood ,:1287.,Wang, C.-H. ,., 2007, Arterioscler. Thromb. Vasc. Biol. ,:540.,Bashamboo, A. ,., 2006, J. Cell Sci. ,:3039.,Reber, L. ,., 2006, Eur. J. Pharmacol. ,:327.,Martin, F.H. ,., 1990, Cell ,:203.,Arakawa, T. ,., 1991, J. Biol. Chem. ,:18942.,Majumdar, M.K. ,., 1994, J. Biol. Chem. ,:1237.,Brannan, C.I. ,., 1991, Proc. Natl. Acad. Sci. USA ,:4671.,13. Anderson, D.M. ,., 1991, Cell Growth Differ. ,:373.,14. Lemmon, M.A. ,., 1997, J. Biol. Chem. ,:6311.,15. Kanellakis, P. ,., 2006, Cardiovasc. Res. ,:117.",,<0.10 EU per 1 μg of the protein by the LAL method.,,https://www.novusbio.com/products/recombinant-human-scf-mammalian-expressed-protein_7466-sc
"MVCD1,VAS,vascular endothelial growth factor A,Vascular permeability factor,Vasculotropin,VEGF,VEGFA,VEGF-A,VEGFMGC70609,VPF,VPFvascular endothelial growth factor",,,"Vascular endothelial growth factor (VEGF or VEGF-A), also known as vascular permeability factor (VPF), is a potent mediator of both angiogenesis and vasculogenesis in the fetus and adult (1-3). It is a member of the PDGF family that is characterized by the presence of eight conserved cysteine residues and a cystine knot structure (4). Humans express alternately spliced isoforms of 121, 145, 165, 183, 189, and 206 amino acids (aa) in length (4). VEGF, appears to be the most abundant and potent isoform, followed by VEGF, and VEGF, (3, 4). Isoforms other than VEGF, contain basic heparin-binding regions and are not freely diffusible (4). Human VEGF, shares 88% aa sequence identity with corresponding regions of mouse and rat, 96% with porcine, 95% with canine, and 93% with feline, equine and bovine VEGF, respectively. VEGF binds the type I transmembrane receptor tyrosine kinases VEGF R1 (also called Flt-1) and VEGF R2 (Flk-1/KDR) on endothelial cells (4). Although VEGF affinity is highest for binding to VEGF R1, VEGF R2 appears to be the primary mediator of VEGF angiogenic activity (3, 4). VEGF, binds the semaphorin receptor, Neuropilin-1 and promotes complex formation with VEGF R2 (5). VEGF is required during embryogenesis to regulate the proliferation, migration, and survival of endothelial cells (3, 4). In adults, VEGF functions mainly in wound healing and the female reproductive cycle (3). Pathologically, it is involved in tumor angiogenesis and vascular leakage (6, 7). Circulating VEGF levels correlate with disease activity in autoimmune diseases such as rheumatoid arthritis, multiple sclerosis and systemic lupus erythematosus (8). VEGF is induced by hypoxia and cytokines such as IL-1, IL-6, IL-8, oncostatin M and TNF-alpha  (3, 4, 9). ",,,,293-VE-010,Recombinant Human VEGF 165 Protein,"Leung, D.W. , (1989) Science ,:1306. ,Keck, P.J. , (1989) Science ,:1309. ,Byrne, A.M. , (2005) J. Cell. Mol. Med. ,:777. ,Robinson, C.J. and S.E. Stringer (2001) J. Cell. Sci. ,:853.,Pan, Q. , (2007) J. Biol. Chem. ,:24049.,Weis, S.M. and D.A. Cheresh (2005) Nature ,:497.,Thurston, G. (2002) J. Anat. ,:575.,Carvalho, J.F. , (2007) J. Clin. Immunol. ,:246.,Angelo, L.S. and R. Kurzrock (2007) Clin. Cancer Res. ,:2825.",,Ala27,,https://www.novusbio.com/products/recombinant-human-vegf-165-protein_293-ve
"aldesleukin,IL2,IL-2,IL-2lymphokine,interleukin 2,interleukin-2,involved in regulation of T-cell clonal expansion,T cell growth factor,T-cell growth factor,TCGF",,,"Interleukin-2 (IL-2) is a O-glycosylated, four  alpha -helix bundle cytokine that has potent stimulatory activity for antigen-activated T cells. It is expressed by CD4, and CD8, T cells,  gamma δ T cells, B cells, dendritic cells, and eosinophils (1-3). Mature human IL-2 shares 56% and 66% aa sequence identity with mouse and rat IL-2, respectively. Human and mouse IL-2 exhibit cross-species activity (4). The receptor for IL-2 consists of three subunits that are present on the cell surface in varying preformed complexes (5-7). The 55 kDa IL-2 R alpha  is specific for IL-2 and binds with low affinity. The 75 kDa IL-2 R beta, which is also a component of the IL-15 receptor, binds IL-2 with intermediate affinity. The 64 kDa common gamma chain  gamma c/IL-2 R gamma, which is shared with the receptors for IL-4, -7, -9, -15, and -21, does not independently interact with IL-2. Upon ligand binding, signal transduction is performed by both IL-2 R beta  and  gamma c. IL-2 is best known for its autocrine and paracrine activity on T cells. It drives resting T cells to proliferate and induces IL-2 and IL-2 R alpha  synthesis (1, 2). It contributes to T cell homeostasis by promoting the Fas-induced death of naïve CD4, T cells but not activated CD4, memory lymphocytes (8). IL-2 plays a central role in the expansion and maintenance of regulatory T cells, although it inhibits the development of Th17 polarized cells (9-11). Thus, IL-2 may be a key cytokine in the natural suppression of autoimmunity (12, 13).",,,,202-IL-010,Recombinant Human IL-2 Protein,"Ma, A. ,. (2006) Annu. Rev. Immunol. ,:657. ,Gaffen, S.L. and K.D. Liu (2004) Cytokine ,:109. ,Taniguchi, T. ,. (1983) Nature ,:305. ,Mosmann, T.R. ,. (1987) J. Immunol. ,:1813. ,Liparoto, S.F. ,. (2002) Biochemistry ,:2543. ,Wang, X. ,. (2005) Science ,:1159. ,Bodnar, A. ,. (2008) Immunol. Lett. ,:117. ,Jaleco, S. ,. (2003) J. Immunol. ,:61.,Malek, T.R. (2003) J. Leukoc. Biol. ,:961.,Laurence, A. ,. (2007) Immunity ,:371.,Kryczek, I. ,. (2007) J. Immunol. ,:6730.,Afzali, B. ,. (2007) Clin. Exp. Immunol. ,:32.,Fehervari, Z. ,. (2006) Trends Immunol. ,:109.",,<0.10 EU per 1 μg of the protein by the LAL method.,,https://www.novusbio.com/products/recombinant-human-il-2-protein_202-il
"colony stimulating factor 1 (macrophage),CSF1,CSF-1,Lanimostim,macrophage colony stimulating factor,macrophage colony-stimulating factor 1,MCSF,M-CSF,MCSFlanimostim,MGC31930",,,"M-CSF, also known as CSF-1, is a four-alpha -helical-bundle cytokine that is the primary regulator of macrophage survival, proliferation and differentiation (1-3). M-CSF is also essential for the survival and proliferation of osteoclast progenitors (1, 4). M-CSF also primes and enhances macrophage killing of tumor cells and microorganisms, regulates the release of cytokines and other inflammatory modulators from macrophages, and stimulates pinocytosis (2, 3). M-CSF increases during pregnancy to support implantation and growth of the decidua and placenta (5). Sources of M-CSF include fibroblasts, activated macrophages, endometrial secretory epithelium, bone marrow stromal cells and activated endothelial cells (1-5). The M-CSF receptor (,) transduces its pleotropic effects and mediates its endocytosis. M-CSF mRNAs of various sizes occur (3-9). Full length mouse M-CSF transcripts encode a 520 amino acid (aa) type I transmembrane (TM) protein with a 462 aa extracellular region, a 21 aa TM domain, and a 37 aa cytoplasmic tail that forms a 140 kDa covalent dimer. Differential processing produces two proteolytically cleaved, secreted dimers. One is an N- and O- glycosylated 86 kDa dimer, while the other is modified by both glycosylation and chondroitin-sulfate proteoglycan (PG) to generate a 200 kDa subunit. Although PG-modified M-CSF can circulate, it may be immobilized by attachment to type V collagen (8). Shorter transcripts encode M‑CSF that lacks cleavage and PG sites and produces an N-glycosylated 68 kDa TM dimer and a slowly produced 44 kDa secreted dimer (7). Although forms may vary in activity and half-life, all contain the N-terminal 150 aa portion that is necessary and sufficient for interaction with the M-CSF receptor (10, 11). The first 229 aa of mature mouse M-CSF shares 87%, 83%, 82% and 81% aa identity with corresponding regions of rat, dog, cow and human M-CSF, respectively (12, 13). Human M‑CSF is active in the mouse, but mouse M-CSF is reported to be species-specific.",,,,416-ML-010,Recombinant Mouse M-CSF Protein,"Pixley, F.J. and E.R. Stanley (2004) Trends Cell Biol. ,:628.,Chitu, V. and E.R. Stanley (2006) Curr. Opin. Immunol. ,:39.,Fixe, P. and V. Praloran (1997) Eur. Cytokine Netw. ,:125.,Ryan, G.R. , (2001) Blood ,:74.,Makrigiannakis, A. , (2006) Trends Endocrinol. Metab. ,:178.,Nandi, S. , (2006) Blood ,:786.,Rettenmier, C.W. and M.F. Roussel (1988) Mol. Cell Biol. ,:5026.,Suzu, S. , (1992) J. Biol. Chem. ,:16812.,Manos, M.M. (1988) Mol. Cell. Biol. ,:5035.,Koths, K. (1997) Mol. Reprod. Dev. ,:31.,Jang, M-H. , (2006) J. Immunol. ,:4055.,DeLamarter, J.F. , (1987) Nucleic Acids Res. ,:2389.,Ladner, M.B. , (1988) Proc. Natl. Acad. Sci. USA ,:6706. ",,<1.0 EU per 1 μg of the protein by the LAL method.,,https://www.novusbio.com/products/recombinant-mouse-m-csf-protein_416-ml
"B cell growth factor 1,BCDF,B-cell stimulatory factor 1,BCGF1,BCGF-1,binetrakin,BSF1,BSF-1,IL4,IL-4,IL-4B_cell stimulatory factor 1,interleukin 4,interleukin-4,Lymphocyte stimulatory factor 1,MGC79402,pitrakinra",,,"Interleukin-4 (IL-4), also known as B cell-stimulatory factor-1, is a monomeric, approximately 13 kDa‑18 kDa Th2 cytokine that shows pleiotropic effects during immune responses (1‑3). It is a glycosylated polypeptide that contains three intrachain disulfide bridges and adopts a bundled four  alpha -helix structure (4). Human IL-4 is synthesized with a 24 aa signal sequence. Alternate splicing generates an isoform with a 16 aa internal deletion. Mature human IL-4 shares 55%, 39% and 43% aa sequence identity with bovine, mouse, and rat IL-4, respectively. Human, mouse, and rat IL-4 are species-specific in their activities (5‑7). IL-4 exerts its effects through two receptor complexes (8, 9). The type I receptor, which is expressed on hematopoietic cells, is a heterodimer of the ligand binding IL-4 R alpha  and the common  gamma  chain (a shared subunit of the receptors for IL-2, -7, -9, -15, and ‑21). The type II receptor on nonhematopoietic cells consists of IL-4 R alpha  and IL‑13 R alpha 1. The type II receptor also transduces IL-13 mediated signals. IL-4 is primarily expressed by Th2-biased CD4, T cells, mast cells, basophils, and eosinophils (1, 2). It promotes cell proliferation, survival, and immunoglobulin class switch to IgG4 and IgE in human B cells, acquisition of the Th2 phenotype by naïve CD4, T cells, priming and chemotaxis of mast cells, eosinophils, and basophils, and the proliferation and activation of epithelial cells (10‑13). IL-4 plays a dominant role in the development of allergic inflammation and asthma (12, 14).",,,,204-IL-010,Recombinant Human IL-4 Protein,"Benczik, M. and S.L. Gaffen (2004) Immunol. Invest. ,:109.,Chomarat, P. and J. Banchereau (1998) Int. Rev. Immunol. ,:1.,Yokota, T. ,. (1986) Proc. Natl. Acad. Sci. ,:5894.,Redfield, C. ,. (1991) Biochemistry ,:11029.,Ramirez, F. ,. (1988) J. Immunol. Meth. ,:141.,Leitenberg, D. and T.L. Feldbush (1988) Cell. Immunol. ,:451.,Mosman, T.R. ,. (1987) J. Immunol. ,:1813.,Mueller, T.D. ,. (2002) Biochim. Biophys. Acta ,:237.,Nelms, K. ,. (1999) Annu. Rev. Immunol. ,:701.,Paludan, S.R. (1998) Scand. J. Immunol. ,:459.,Corthay, A. (2006) Scand. J. Immunol. ,:93.,Ryan, J.J. ,. (2007) Crit. Rev. Immunol. ,:15.,Grone, A. (2002) Vet. Immunol. Immunopathol. ,:1.,Rosenberg, H.F. ,. (2007) J. Allergy Clin. Immunol. ,:1303.",,">97%, by SDS-PAGE under reducing conditions and visualized by silver stain.",,https://www.novusbio.com/products/recombinant-human-il-4-protein_204-il
"B cell growth factor 1,BCDF,B-cell stimulatory factor 1,BCGF1,BCGF-1,binetrakin,BSF1,BSF-1,IL4,IL-4,IL-4B_cell stimulatory factor 1,interleukin 4,interleukin-4,Lymphocyte stimulatory factor 1,MGC79402,pitrakinra",,,"Interleukin-4 (IL-4), also known as B cell-stimulatory factor-1, is a monomeric, approximately 13 kDa-18 kDa Th2 cytokine that shows pleiotropic effects during immune responses (1-4). It is a glycosylated polypeptide that contains three intrachain disulfide bridges and adopts a bundled four  alpha -helix structure (5). Mouse IL-4 is synthesized with a 24 aa signal sequence. Mature mouse IL-4 shares 39%, 39%, and 59% aa sequence identity with bovine, human, and rat IL-4, respectively. Human, mouse, and rat IL-4 are species-specific in their activities (6-8). IL-4 exerts its effects through two receptor complexes (9, 10). The type I receptor, which is expressed on hematopoietic cells, is a heterodimer of the ligand binding IL-4 R alpha  and the common  gamma  chain (a shared subunit of the receptors for IL-2, -7, -9, -15, and,-21). The type II receptor on nonhematopoietic cells consists of IL‑4 R alpha  and IL‑13 R alpha 1. The type II receptor also transduces IL‑13 mediated signals. IL-4 is primarily expressed by Th2‑biased CD4, T cells, mast cells, basophils, and eosinophils (1, 2). It promotes cell proliferation, survival, and immunoglobulin class switch to IgG1 and IgE in mouse B cells, acquisition of the Th2 phenotype by naïve CD4, T cells, priming and chemotaxis of mast cells, eosinophils, and basophils, and the proliferation and activation of epithelial cells (11 ‑ 14). IL-4 plays a dominant role in the development of allergic inflammation and asthma (13, 15).",,,,404-ML-010,Recombinant Mouse IL-4 Protein,"Benczik, M. and S.L. Gaffen (2004) Immunol. Invest. ,:109.,Chomarat, P. and J. Banchereau (1998) Int. Rev. Immunol. ,:1.,Lee, F. ,. (1986) Proc. Natl. Acad. Sci. ,:2061.,Noma, Y. ,. (1986) Nature ,:640.,Redfield, C. ,. (1991) Biochemistry ,:11029.,Ramirez, F. ,. (1988) J. Immunol. Meth. ,:141.,Leitenberg, D. and T.L. Feldbush (1988) Cell. Immunol. ,:451.,Mosman, T.R. ,. (1987) J. Immunol. ,:1813.,Mueller, T.D. ,. (2002) Biochim. Biophys. Acta ,:237.,Nelms, K. ,. (1999) Annu. Rev. Immunol. ,:701.,Paludan, S.R. (1998) Scand. J. Immunol. ,:459.,Corthay, A. (2006) Scand. J. Immunol. ,:93.,Ryan, J.J. ,. (2007) Crit. Rev. Immunol. ,:15.,Grone, A. (2002) Vet. Immunol. Immunopathol. ,:1.,Rosenberg, H.F. ,. (2007) J. Allergy Clin. Immunol. ,:1303.",,14 kDa.,,https://www.novusbio.com/products/recombinant-mouse-il-4-protein_404-ml
"B cell stimulatory factor-2,B-cell differentiation factor,BSF-2,BSF2CTL differentiation factor,CDF,HGFHSFIFNB2Hybridoma growth factor,IFN-beta-2,IL6,IL-6,IL-6B-cell stimulatory factor 2,Interferon beta-2,interleukin 6 (interferon, beta 2),interleukin BSF-2,interleukin-6,MGI-2A",,,,,,,206-IL-010,Recombinant Human IL-6 Protein,"Mansell, A. and B.J. Jenkins (2013) Cytokine Growth Factor Rev. ,:249.,Schuett, H. , (2009) Thromb. Haemost. ,:215.,Erta, M. ,. (2012) Int. J. Biol. Sci. ,:1254.,Garbers, C. ,. (2012) Cytokine Growth Factor Rev. ,:85.,Mihara, M. ,. (2012) Clin. Sci. (Lond.) ,:143.,Hirano, T. ,. (1986) Nature ,:73.,Kestler, D.P. ,. (1995) Blood ,:4559.,Kestler, D.P. ,. (1999) Am. J. Hematol. ,:169.,Bihl, M.P. ,. (2002) Am. J. Respir. Cell Mol. Biol. ,:48.,Alberti, L. ,. (2005) Cancer Res. ,:2.,Murakami, M. ,. (1993) Science ,:1808.,Muller-Newen, G. (2003) Sci. STKE ,:PE40.,Mitsuyama, K. ,. (2006) Clin. Exp. Immunol. ,:125.,Cerutti, A. , (1998) J. Immunol. ,:2145.",,Recombinant Proteins,,https://www.novusbio.com/products/recombinant-human-il-6-protein_206-il
"IFG,IFI,IFNG,IFNgamma,IFN-gamma,Immune interferon,interferon gamma,interferon, gamma",,,,,,,485-MI-100,Recombinant Mouse IFN-gamma Protein,"Billiau, A. and P. Matthys (2009) Cytokine Growth Factor Rev. ,:97.,Pestka, S. ,. (2004) Immunol. Rev. ,:8.,Gray, P.W. and D.V. Goeddel (1983) Proc. Natl. Acad. Sci. ,:5842.,Marsters, S.A. ,. (1995) Proc. Natl. Acad. Sci. ,:5401.,Krause, C.D. ,. (2000) J. Biol. Chem. ,:22995.,Schroder, K. ,. (2004) J. Leukoc. Biol. ,:163.,McLaren, J.E. and D.P. Ramji (2009) Cytokine Growth Factor Rev. ,:125.,Muhl, H. and J. Pfeilschifter (2003) Int. Immunopharmacol. ,:1247.,Kelchtermans, H. ,. (2008) Trends Immunol. ,:479.",,<0.10 EU per 1 μg of the protein by the LAL method.,,https://www.novusbio.com/products/recombinant-mouse-ifn-gamma-protein_485-mi
"colony stimulating factor 2 (granulocyte-macrophage),Colony-stimulating factor,CSF,CSF2,GMCSF,GM-CSF,GMCSFgranulocyte-macrophage colony-stimulating factor,granulocyte-macrophage colony stimulating factor,MGC131935,MGC138897,molgramostin,sargramostim",,,,,,,215-GM-010,Recombinant Human GM-CSF Protein,"Martinez-Moczygemba, M. and D.P. Huston (2003) J. Allergy Clin. Immunol. ,:653. ,Barreda, D.R. ,. (2004) Dev. Comp. Immunol. ,:509. ,Eksioglu, E.A. ,. (2007) Exp. Hematol. ,:1163. ,Cao, Y. (2007) J. Clin. Invest. ,:2362. ,Fleetwood, A.J. ,. (2005) Crit. Rev. Immunol. ,:405.,Heuser, M. ,. (2007) Semin. Hematol. ,:148. ,Hege, K.M. ,. (2006) Int. Rev. Immunol. ,:321. ,Kaushansky, K. ,. (1992) Biochemistry ,:1881. ,Diederichs, K. ,. (1991) Science ,:1779.  
,Cantrell, M.A. ,. (1985) Proc. Natl. Acad. Sci. ,:6250. 
,Lee, F. ,. (1985) Proc. Natl. Acad. Sci. ,:4360. 
,Wong, G.G. ,. (1985) Science ,:810. 
,Onetto-Pothier, N. ,. (1990) Blood ,:59. 
,Hayashida, K. ,. (1990) Proc. Natl. Acad. Sci. ,:9655. 
,Pelley, J.L. ,. (2007) Exp. Hematol. ,:1483. 
,Hogge, G.S. ,. (1990) Cancer Gene Ther. ,:26. 
,Sprague, W.S. ,. (2005) J. Comp. Pathol. ,:136. 
,Shanafelt, A.B. ,. (1991) J. Biol. Chem. ,:13804.",,Recombinant Proteins,,https://www.novusbio.com/products/recombinant-human-gm-csf-protein_215-gm
